amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
116.00 ,000440809,C,8992368  ,Closed,  ,116.00 ,5/2/2017,5/2/2017,7/23/2017 ,116.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
116.00 ,000435717,C,8992214  ,Closed,  ,116.00 ,2/7/2017,2/8/2017,5/21/2017 ,116.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000398910,C,8872461  ,Closed,  ,100.00 ,10/21/2015,10/27/2015,1/13/2016 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
100.00 ,000398910,C,8872462  ,Closed,  ,100.00 ,10/21/2015,10/27/2015,1/13/2016 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000383840,C,8790965  ,Closed,  ,100.00 ,4/15/2015,4/15/2015,7/17/2015 ,100.00,N,104(a),56.13015,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-13015.pdf,Newberg Rock & Dirt
100.00 ,000383840,C,8790964  ,Closed,  ,100.00 ,4/13/2015,4/15/2015,7/17/2015 ,100.00,N,104(a),56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-4101.pdf,Newberg Rock & Dirt
100.00 ,000383840,C,8790962  ,Closed,  ,100.00 ,4/10/2015,4/10/2015,7/17/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
873.00 ,000383840,C,8790963  ,Closed,  ,873.00 ,4/10/2015,4/13/2015,7/17/2015 ,873.00,Y,104(a),56.15020,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-15020.pdf,Newberg Rock & Dirt
100.00 ,000345066,C,8694458  ,Closed,  ,100.00 ,1/29/2014,1/29/2014,4/12/2014 ,100.00,N,104(a),56.12018,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-12018.pdf,Newberg Rock & Dirt
100.00 ,000345066,C,8694457  ,Closed,  ,100.00 ,1/29/2014,1/29/2014,4/12/2014 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
243.00 ,000345066,C,8694454  ,Closed,  ,243.00 ,1/28/2014,1/29/2014,4/12/2014 ,243.00,Y,104(a),56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-12032.pdf,Newberg Rock & Dirt
100.00 ,000345066,C,8694453  ,Closed,  ,100.00 ,1/28/2014,1/29/2014,4/12/2014 ,100.00,N,104(a),56.4201(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-4201.pdf,Newberg Rock & Dirt
100.00 ,000345066,C,8694456  ,Closed,  ,100.00 ,1/28/2014,1/29/2014,4/12/2014 ,100.00,N,104(a),56.14132(b)(1),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,Newberg Rock & Dirt
100.00 ,000345066,C,8694455  ,Closed,  ,100.00 ,1/28/2014,1/29/2014,4/12/2014 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
100.00 ,000345066,C,8694452  ,Closed,  ,100.00 ,1/28/2014,1/29/2014,4/12/2014 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,Newberg Rock & Dirt
100.00 ,000345066,C,8694450  ,Closed,  ,100.00 ,1/28/2014,1/29/2014,4/12/2014 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,Newberg Rock & Dirt
100.00 ,000347758,C,8694451  ,Closed,  ,100.00 ,1/28/2014,1/29/2014,5/14/2014 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,Newberg Rock & Dirt
100.00 ,000291331,C,8599787  ,Closed,  ,100.00 ,5/1/2012,5/7/2012,7/13/2012 ,100.00,N,104(a),56.14108,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14108.pdf,Newberg Rock & Dirt
